CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMT_TYPE,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMT_TYPE,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_PASSNGR_IND,MC_TRAIL_IND,PC_HDLGHT_IND,PC_HLMT_IND,PC_PASSNGR_IND,PC_REAR_RFLTR_IND,UNIT_NUM
2007027728,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007027804,,,,,,,,,,,,,,,,,,,,N,U,N,N,2
2007080206,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007081545,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2007082507,,,,,,,,,,,,,,,,,,,,N,N,N,N,1
2007091986,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007092940,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007093558,U,Y,U,Y,3.0,Y,Y,Y,U,1380.0,,,,,,,,N,U,,,,,2
2007098145,U,U,N,N,0.0,N,N,U,U,1000.0,,,,,,,,N,U,,,,,2
2007116672,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2007117200,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2007120700,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2008007319,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2007066522,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,2
2007067093,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007067330,,,,,,,,,,,,,,,,,,,,N,N,N,Y,1
2007082203,N,U,N,N,0.0,N,N,U,U,99999.0,,,,,,,,N,N,,,,,1
2007088982,Y,U,U,Y,3.0,U,Y,Y,N,99999.0,,,,,,,,N,N,,,,,1
2007092965,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2007097896,,,,,,,,,,,,,,,,,,,,U,Y,N,U,1
2007102430,N,U,N,N,0.0,,,Y,N,99999.0,,,,,,,,N,N,,,,,1
2007119402,,,,,,,,,,,,,,,,,,,,N,Y,N,U,2
2007120878,U,U,U,Y,1.0,U,U,N,N,99999.0,,,,,,,,N,U,,,,,1
2011029161,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,2
2007046919,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007067304,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,N,,,,,2
2007080420,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2007081293,U,U,U,Y,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2007081495,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2007092284,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,2
2007093561,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007098697,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2007099613,,,,,,,,,,,,,,,,,,,,N,U,N,U,2
2007106816,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007107030,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2007107354,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,N,,,,,1
2007109076,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,2
2007109746,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2007126416,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2008029175,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007066403,U,U,U,N,0.0,N,N,U,U,99999.0,U,N,0.0,N,N,U,U,Y,N,,,,,1
2007079367,N,N,U,Y,1.0,U,Y,Y,N,650.0,,,,,,,,N,N,,,,,1
2007080922,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2007080950,,,,,,,,,,,,,,,,,,,,N,N,N,N,1
2007091242,Y,N,U,N,2.0,U,Y,Y,Y,1300.0,,,,,,,,N,N,,,,,2
2007096733,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007097792,U,U,U,N,0.0,N,N,U,U,99999.0,U,N,0.0,N,N,U,U,Y,U,,,,,2
2007098490,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007106054,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007108921,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,1
2007110478,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,2
2007112039,U,U,N,N,3.0,Y,Y,U,U,1350.0,,,,,,,,N,U,,,,,1
2007120634,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007120919,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007124092,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007126558,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2
2008016995,N,U,U,Y,9.0,U,U,Y,Y,125.0,,,,,,,,N,N,,,,,2
2007056567,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007066237,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2007067448,N,N,N,N,0.0,,,U,U,100.0,,,,,,,,N,N,,,,,1
2007080119,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007082496,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,3
2007096753,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007097879,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007097886,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,2
2007106061,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007106077,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007106149,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2007107352,U,U,U,N,9.0,U,U,U,U,99999.0,,,,,,,,N,N,,,,,1
2007120244,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007120540,,,,,,,,,,,,,,,,,,,,U,U,U,U,2
2007120630,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2007124096,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2008023952,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007027830,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007046825,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2007081872,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2007082500,Y,U,Y,U,1.0,Y,Y,U,U,800.0,N,Y,0.0,N,N,N,N,Y,N,,,,,1
2007105966,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,2
2007106976,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,U,U,,,,,1
2007107509,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,N,,,,,1
2007108529,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007126124,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,2
2008018058,Y,Y,U,Y,9.0,U,U,Y,Y,1200.0,,,,,,,,N,U,,,,,2
2007067450,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007080192,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007080406,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2007081277,U,U,U,U,1.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,2
2007082199,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2007092050,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2007092932,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007095651,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2007099124,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2007106364,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2007107032,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007107503,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2007110526,,,,,,,,,,,,,,,,,,,,N,N,N,U,1
2007124101,N,N,N,N,0.0,N,N,Y,Y,1800.0,N,Y,1.0,Y,Y,Y,Y,Y,N,,,,,1
2007126193,,,,,,,,,,,,,,,,,,,,U,N,Y,U,1
2008079092,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2007027536,,,,,,,,,,,,,,,,,,,,N,U,N,Y,2
2007057208,U,Y,U,N,1.0,N,N,Y,N,600.0,,,,,,,,N,U,,,,,1
2007067331,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2
2007081422,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2007092948,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2007092967,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007097878,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007106067,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007106805,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007110844,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,2
2007117295,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007120901,U,Y,U,N,0.0,,,Y,N,80.0,,,,,,,,N,U,,,,,1
2007126187,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2008008062,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2007047770,N,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2007054645,N,N,U,Y,1.0,U,Y,Y,Y,1000.0,,,,,,,,N,N,,,,,1
2007056659,N,U,U,U,1.0,U,U,N,U,99999.0,,,,,,,,N,N,,,,,1
2007066246,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007066918,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2007067243,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2007081739,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2007082577,U,U,Y,N,0.0,,,Y,N,99999.0,,,,,,,,N,U,,,,,1
2007092794,Y,Y,U,Y,2.0,U,Y,Y,U,99999.0,,,,,,,,N,U,,,,,1
2007092961,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007093192,U,U,U,Y,9.0,U,U,U,U,99999.0,U,U,9.0,U,U,U,U,Y,U,,,,,2
2007093375,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2007097840,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007098983,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2007099067,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,2
2007106161,U,U,U,Y,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,2
2007106887,U,U,U,U,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,1
2007109992,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,1
2007120097,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007120237,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,1
2008000673,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2008005973,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2008016355,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,2
2008018333,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,1
2008033026,U,U,U,U,9.0,U,U,U,U,1000.0,,,,,,,,N,U,,,,,2
2008034397,,,,,,,,,,,,,,,,,,,,N,N,N,N,1
2007022707,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2007056840,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,N,,,,,1
2007057196,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,U,U,,,,,1
2007094393,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2007095287,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2007097474,U,U,U,U,0.0,,,U,U,99999.0,,,,,,,,N,U,,,,,1
2007097904,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
