CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMT_TYPE,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMT_TYPE,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_PASSNGR_IND,MC_TRAIL_IND,PC_HDLGHT_IND,PC_HLMT_IND,PC_PASSNGR_IND,PC_REAR_RFLTR_IND,UNIT_NUM
2010003230,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2010006289,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2009048670,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2009054910,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2009071427,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,1
2009071431,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,2
2009079179,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2009083719,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2009086068,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2009092284,N,Y,Y,Y,2.0,Y,Y,Y,Y,1200.0,,,,,,,,N,N,,,,,1
2009100598,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2009100766,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2009105674,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2009120660,U,U,U,Y,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,2
2009124456,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2009124468,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010010627,,,,,,,,,,,,,,,,,,,,U,U,U,U,1
2009039746,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2009040305,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2009048710,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2009067505,,,,,,,,,,,,,,,,,,,,N,N,N,N,1
2009070013,N,Y,Y,Y,1.0,Y,Y,Y,Y,999.0,,,,,,,,N,N,,,,,1
2009080031,N,N,Y,Y,1.0,Y,Y,Y,N,1000.0,N,N,0.0,N,N,N,N,Y,N,,,,,1
2009092986,N,U,N,N,0.0,N,N,U,U,50.0,,,,,,,,N,N,,,,,1
2009093002,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2009096995,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2009097065,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,1
2009097109,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,N,,,,,1
2009102328,Y,Y,U,Y,1.0,N,Y,U,Y,1000.0,,,,,,,,N,N,,,,,1
2009107398,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2009120354,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2009120623,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2009121155,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010003278,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2009030070,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2009049500,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2009049734,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2009054447,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2009057259,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2009062977,N,Y,U,N,1.0,Y,Y,Y,N,750.0,,,,,,,,N,N,,,,,1
2009065259,,,,,,,,,,,,,,,,,,,,N,N,N,U,2
2009079514,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2009080081,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2009085948,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,2
2009105559,,,,,,,,,,,,,,,,,,,,U,U,U,U,2
2009105647,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2009105810,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2009111600,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2009121112,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2009044280,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2009066973,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2009067103,N,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,N,,,,,1
2009075411,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,2
2009078798,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2009079239,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2009085853,N,Y,Y,Y,1.0,N,Y,Y,Y,650.0,,,,,,,,N,N,,,,,1
2009086071,U,U,U,Y,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2009093009,U,U,U,U,9.0,U,U,U,U,99999.0,U,U,9.0,U,U,U,U,Y,U,,,,,2
2009093482,U,U,U,Y,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,2
2009101003,N,N,N,N,0.0,,,Y,N,99999.0,,,,,,,,N,N,,,,,2
